PubMed_IDs_TP,PubMed_IDs_FP,PubMed_IDs_R
"38163085, 36758520, 36280324, 36037202, 34183837, 34152311, 33686787, 32673694, 32004754, 31056700, 30109253, 27196580, 26125937, 38124090, 37272555, 37214858, 37110329, 36779280, 36639805, 36521055, 36461605, 36378498, 35910380, 35417687, 35416187, 35209104, 34876680, 34158863, 34144192, 33167889, 33052690, 33042131, 32947881, 38258906, 38255320, 38255150, 38219386, 38203747, 38203712, 38194476, 38191834, 38181823, 38172977, 38168274, 38165179, 38164789, 38154276, 38140314, 38124090, 38113690, 38112525, 38098663, 38096941","38110791, 38049007, 37990349, 37989058, 37976806, 37954537, 37918865, 37834360, 37691056, 37581033, 37355071, 37335565, 37335108, 37310766, 37272555, 37108188, 37083262, 37047397, 36895784, 36841048, 38255320, 38253109, 38247203, 38246520, 38245781, 38243565, 38243324, 38242497, 38235606, 38233383, 38224533, 38223252, 38220140, 38214563, 38200184, 38193202, 38189580, 38179052, 38175840, 38159410","38243871, 38217650, 38181740, 38172625, 38167825, 38167520, 38157864, 38096814, 38085804, 38051715, 38029461, 38009957, 37971255, 37951952, 37935873, 37934952, 37932698, 37889074, 37873584, 37819098, 38227364, 38223684, 38203314, 38164418, 38142398, 38124090, 38115131, 38072206, 38061311, 38035726, 38029238, 38026692, 37993715, 37989713, 37984718, 37981116, 37945679, 37925366, 37916626, 37893449, 38260869, 38259457, 38259106, 38258906, 38257933, 38257139, 38256841, 38256159, 38256146, 38255939, 38255909, 38255683, 38255299, 38255150, 38254686, 38254526, 38253555, 38253323, 38250970, 38249593"
"36219554, 35965094, 35799795, 35351615, 34200555, 32219260, 19587641, 36993463, 37898344, 38181823, 38165179, 38124090, 38112525, 38091316, 38035969, 37752225, 37741962, 37676484, 37586618, 37536035, 37467722, 37298151, 37220071, 37183784, 37114045, 37107423, 36788014, 36779280, 36742168","38257272, 38257160, 38253911, 38253909, 38251965, 38250174, 38248411, 38245731, 38244734, 38243595, 38240863, 38240737, 38238524, 38237350, 38233819, 38233485, 38232526, 38226811, 38225060, 38224478, 38135009, 38064235, 38049505, 38014105, 38010429, 37922649, 37918651, 37901762, 37858858, 37838514, 37788844, 37545316, 37541581, 37504634, 37498792, 37498787, 37468955, 37455690, 37406808, 37201681, 38248652, 38248084, 38236916, 38214821, 38213034, 38206624, 38204822, 38198982, 38193233, 38187171, 38182056, 38172186, 38158889, 38155709, 38146804, 38135009, 38112053, 38099990, 38064235, 38049505, 38260947, 38258352, 38256923, 38255706, 38253957, 38253205, 38252908, 38252436, 38252330, 38248780, 38247999, 38243020, 38242353, 38241788, 38241775, 38232816, 38231512, 38229978, 38228804, 38223868, 38260175, 38258428, 38255738, 38255272, 38252755, 38247864, 38245638, 38245453, 38238980, 38234026, 38230821, 38229911, 38226657, 38213873, 38212663, 38205723, 38203591, 38202084, 38201430, 38194022, 38261278, 38258600, 38258527, 38258146, 38258037, 38257968, 38257692, 38257678, 38257631, 38257614, 38257410, 38257246, 38257216, 38257113, 38256791, 38256528, 38256067, 38255924, 38255819, 38255796","38233485, 37909908, 37902616, 37847053, 37729987, 37625739, 37602405, 37492950, 37445611, 37441502, 37439182, 37373145, 37299470, 37245564, 37207912, 37174596, 37173330, 37094426, 37083054, 37074623, 38193233, 37831041, 37828551, 37712629, 37705676, 37703724, 37642435, 37498792, 37201681, 37173826, 36995329, 36958889, 36927868, 20301469, 36799898, 36728603, 36705797, 36582771, 36202174, 36178236, 38084623, 37990119, 37982684, 37959726, 37946012, 37934078, 37861177, 37849565, 37831041, 37743693, 37743489, 37687076, 37621240, 37612616, 37599697, 37588005, 37578298, 37505577, 37498792, 37372531, 38084187, 37996874, 37960316, 37886189, 37814020, 37803736, 37687076, 37660929, 37588005, 37571314, 37480783, 37426179, 37375691, 37375654, 37266899, 37253681, 37111209, 37102510, 37097371, 37048534, 38252436, 38242353, 38194049, 38179776, 38176167, 38171838, 38132327, 38112220, 38072064, 38071735, 38042384, 38031224, 37953179, 37815205, 37815198, 37814905, 37811072, 37804001, 37746794, 37723898, 38029159, 37993702, 37964979, 37915930, 37861177, 37803736, 37701742, 37588005, 37375654, 37317280, 37266385, 37111209, 37096488, 37094914, 37048534, 36921804, 36883587, 36822879, 36745890, 36662358, 38257160, 38233485, 38226811, 38103602, 38048922, 38016319, 38002152, 37984469, 37966061, 37909908, 37902616, 37847053, 37823785, 37804821, 37803640, 37742980, 37729987, 37699776, 37693249, 37678055, 38260675, 38260589, 38258197, 38258128, 38257535, 38257490, 38257401, 38257347, 38257072, 38256983, 38256905, 38256774, 38256252, 38256105, 38255969, 38255889, 38255772, 38255413, 38255337, 38255122"
"38151490, 37868958, 37807005, 37400966, 36965240, 36076974, 35711544, 35409260, 35237276, 35159265, 35013389, 34542110, 33974360, 32780927, 32498703, 31819956, 31810607, 31806959, 31624009, 31337664, 38037542, 37392516, 36687706, 36501176, 34358323, 33971327, 31071294, 30223557, 28827082, 25209655, 38037542, 34358323, 33906557, 30611738, 11409160, 25895111, 25895111, 38151490, 37400966, 35903457, 35567156, 35215407, 35071544, 32295122, 31444155, 31112045, 29895146, 26286798, 24837962, 22912451, 22273277, 38199196, 38037542, 37894161, 37808673, 37789859, 37737730, 37728335, 37695076, 37505920, 37446750, 37392516, 37334498, 37009872, 37002889, 36915680, 36766753, 36501176, 36362012, 36270402, 36054683, 37737730, 37678712, 36915476, 36531462, 36054683, 35704337, 35687195, 35678187, 35253754, 35158177, 34177935, 33903148, 32122428, 31782595, 31645659, 31269758, 31152791, 31138673, 31035309, 22046124, 38243570, 38240858, 38231454, 38220436, 38213043, 38212016, 38203735, 38202742, 38201099, 38191106, 38191032, 38189231, 38164088, 38162477, 38151490, 38147737, 38139152, 38135233, 38132330, 38129043","35790996, 38260401, 38260074, 38260061, 38258619, 38257357, 38257168, 38257154, 38256780, 38256371, 38256058, 38255855, 38255668, 38254970, 38254710, 38254657, 38254537, 38254527, 38254437, 38254294, 38254254, 38156773, 37762727, 37441519, 37392516, 36662167, 36043901, 33971327, 32969224, 32784952, 32285970, 31821004, 30990833, 30830399, 30391485, 30256116, 29358708, 29259036, 28827082, 28800645, 27021137, 38260401, 38260074, 38260061, 38258619, 38257357, 38257168, 38257154, 38256780, 38256371, 38256058, 38255855, 38255668, 38254970, 38254710, 38254537, 38254527, 38254437, 38254294, 38254254, 38254037","38201863, 38193259, 38181882, 38175711, 38113632, 38070488, 38060464, 38055060, 37967008, 37902616, 37900123, 37897851, 37880759, 37813785, 37811721, 37808673, 37776996, 37776121, 37737730, 37690726, 38240083, 38231454, 38218985, 38201737, 38194811, 38164791, 38154262, 38152126, 38129926, 38124422, 38105335, 38087373, 38057319, 38039864, 38030258, 38015194, 38004196, 37986413, 37981361, 37979832, 38231454, 38055949, 38051409, 38039864, 37986443, 37979832, 37972908, 37903549, 37892464, 37892161, 37885404, 37880746, 37848166, 37826992, 37803624, 37780308, 37777029, 37748634, 37735572, 37730609, 38259495, 38253059, 38248857, 38248822, 38246237, 38240721, 38234289, 38219541, 38214259, 38205641, 38201073, 38199196, 38199043, 38193259, 38185280, 38177096, 38174118, 38171216, 38146533, 38145051, 38241896, 38201863, 38199196, 38193259, 38169859, 38113632, 38042287, 38037542, 38029177, 38003718, 37990616, 37967008, 37902616, 37902008, 37900123, 37894161, 37880759, 37877781, 37813785, 37812367, 38254657, 38248642, 38238339, 38234869, 38233114, 38231768, 38230815, 38217838, 38211975, 38211413, 38203556, 38203313, 38202748, 38202690, 38200005, 38196020, 38188684, 38183522, 38175798, 38164791"
"37873588, 37792768, 37499955, 37349047, 36735734, 35729638, 35150406, 34528668, 33921758, 33857511, 32698861, 31779136, 31234447, 30666957, 30352258, 29635868, 29556726, 29295622, 29922668, 27672284, 38257172, 38244236, 38151490, 38107848, 38102104, 38095449, 38077158, 38068838, 38008696, 37982439, 37978895, 37935653, 37903378, 37901813, 37868958, 37841565, 37836432, 37813835, 37771255, 37742727, 38151490, 37957831, 37903378, 37886485, 37885336, 37873588, 37841565, 37734910, 37479833, 37476672, 37374030, 37370812, 37349047, 37139278, 37081371, 36984818, 36933563, 36917032, 36759757, 36739756, 33857511, 25533952, 35503250, 33172329, 25533952, 17016496, 38257283, 38255781, 38254678, 38254432, 38247008, 38245554, 38244701, 38244236, 38242179, 38236446, 38235147, 38234014, 38233990, 38221963, 38219703, 38218423, 38216746, 38216112, 38216004, 38213620","38261146, 38260993, 38260748, 38260742, 38260695, 38260688, 38260683, 38260661, 38260624, 38260602, 38260537, 38260478, 38260464, 38260185, 38260165, 38260153, 38260144, 38260141, 38260129, 38260087, 38261398, 38261251, 38261234, 38261071, 38260997, 38260993, 38260940, 38260892, 38260864, 38260695, 38260688, 38260661, 38260624, 38260602, 38260537, 38260511, 38260500, 38260413, 38260407, 38260337, 38260624, 38260464, 38246587, 38243826, 38242473, 38241920, 38240858, 38238383, 38237396, 38231706, 38229447, 38227669, 38225400, 38219486, 38219236, 38219044, 38215960, 38213254, 38212382, 38203446, 38260602, 38260537, 38258487, 38256069, 38252513, 38246587, 38238145, 38227547, 38225139, 38224679, 38219880, 38219044, 38216738, 38213134, 38212002, 38206766, 38201900, 38199601, 38197793, 38195707, 38242473, 38213254, 38129919, 37997172, 37893609, 37892544, 37867516, 37848151, 37836016, 37815332, 37764744, 37693093, 37647585, 37647198, 37619907, 37571315, 37549868, 37485771, 37462522, 37400906","38260661, 38260537, 38260141, 38256201, 38255954, 38255934, 38255932, 38255789, 38255203, 38253558, 38252682, 38250316, 38248845, 38247873, 38247865, 38247813, 38246558, 38244765, 38244675, 38242100, 38261258, 38260940, 38260910, 38260072, 38260058, 38259509, 38258357, 38258021, 38257918, 38257850, 38257283, 38257160, 38257159, 38257133, 38256841, 38256146, 38256076, 38255781, 38255654, 38255381, 38260940, 38260892, 38260407, 38258459, 38258357, 38257918, 38257283, 38257160, 38257159, 38257133, 38256146, 38256076, 38255955, 38255939, 38255781, 38255641, 38254507, 38249477, 38247937, 38247491, 38231706, 38212382, 38203446, 38198415, 38175708, 38167066, 38158020, 38094047, 38076785, 38026570, 38004519, 37976807, 37960226, 37944411, 37944134, 37939221, 37921649, 37920255, 37863280, 37783943, 38242473, 38213254, 38129919, 37997172, 37893609, 37892544, 37867516, 37848151, 37836016, 37815332, 37764744, 37693093, 37647585, 37647198, 37619907, 37571315, 37549868, 37485771, 37462522, 37400906"
"38257863, 38225565, 38168315, 38154276, 38151490, 38054580, 38052229, 38038385, 38034829, 38019873, 37949638, 37932270, 37882604, 37868984, 37805634, 37791426, 37774039, 37734910, 37659505, 37512838, 38257863, 38255150, 38238335, 38233198, 38230664, 38227799, 38225565, 38203747, 38181823, 38177086, 38175472, 38168315, 38168274, 38168138, 38156964, 38154276, 38145785, 38140362, 38138026, 38133321, 38168315, 38059752, 38025434, 37602969, 37385587, 37324319, 37248173, 37108484, 36993324, 36814443, 36755569, 36735955, 36698146, 36363782, 36104776, 36038634, 35479407, 35328382, 35303419, 35288651, 38257863, 38255916, 38238335, 38225565, 38203747, 38203712, 38181823, 38168315, 38163708, 38156964, 38154276, 38151490, 38141180, 38137947, 38095449, 38057218, 38054580, 38052229, 38044504, 38038385","38261342, 38261340, 38261339, 38261338, 38261242, 38261112, 38261000, 38260962, 38260904, 38260892, 38260852, 38260847, 38260703, 38260638, 38260452, 38260443, 38260425, 38260363, 38260340, 38260321, 38261373, 38261282, 38261258, 38261090, 38261019, 38260960, 38260940, 38260914, 38260910, 38260906, 38260901, 38260900, 38260893, 38260892, 38260889, 38260887, 38260881, 38260877, 38260871, 38260869","38161356, 25257180, 18783898, 37799091, 37600818, 37370188, 37158271, 36803638, 36774467, 36564826, 36539202, 36520398, 36304298, 36202959, 35917163, 35749381, 34969098, 34862502, 34788784, 34576734, 34571248, 34251619, 33978706, 38261090, 38260892, 38260103, 38259673, 38257874, 38257864, 38255916, 38254227, 38248661, 38247491, 38247003, 38246133, 38246103, 38243343, 38240339, 38237031, 38233502, 38233085, 38231265, 38229333"
"38258906, 38151490, 38070244, 38065263, 37882738, 37881499, 37815870, 37635357, 37586618, 37553378, 37489647, 37366241, 37202830, 37175861, 37138536, 37049400, 37036595, 36973501, 36965240, 36941128, 36037202, 35901721, 37461973, 30561409, 29037938, 38258906, 38255916, 38130639, 38106420, 38070244, 38026194, 37901448, 37881499, 37875976, 37859409, 37765299, 37747308, 37649894, 37553378, 37386288, 37202830, 37062174, 37030558, 36973501, 36965240","38261170, 38261147, 38260838, 38260380, 38260312, 38260302, 38260271, 38260135, 38259829, 38259721, 38259685, 38259607, 38259478, 38259082, 38259073, 38259007, 38258976, 38258804, 38258802, 38258506, 38260361, 38260036, 38259366, 38256995, 38256356, 38255844, 38255307, 38254767, 38254188, 38253709, 38253580, 38252234, 38251150, 38251092, 38250759, 38250151, 38250070, 38248470, 38248330, 38248099, 38260361, 38260036, 38259366, 38256995, 38256356, 38255844, 38255307, 38254767, 38254188, 38253709, 38253580, 38252234, 38251150, 38251092, 38250759, 38250151, 38250070, 38248470, 38248330, 38248099, 38261299, 38261253, 38261228, 38261161, 38261143, 38261008, 38261006, 38260854, 38260853, 38260850, 38260838, 38260739, 38260723, 38260640, 38260585, 38260497, 38260492, 38260457, 38260418, 38260396, 38258971, 38254639, 38253647, 38251470, 38251312, 38246524, 38240870, 38238162, 38237258, 38231835, 38224447, 38215980, 38214516, 38211356, 38204341, 38201044, 38195823, 38189960, 38186209, 38182094","38259607, 38258906, 38252282, 38248845, 38245781, 38245564, 38243871, 38240193, 38236384, 38235606, 38233048, 38231305, 38230764, 38229144, 38227962, 38224627, 38222953, 38217838, 38215859, 38215690, 37161446, 29129496, 27685822, 24417819, 3459944, 38189960, 38175844, 37988327, 37962818, 37921475, 37809632, 37797737, 37672388, 37665555, 37575242, 29939622, 37545157, 37520372, 37512916, 37332116, 37323947, 37294302, 37260706, 37252814, 37186317, 38261006, 38260834, 38260434, 38259709, 38259413, 38259374, 38259358, 38259281, 38259194, 38258054, 38256417, 38256073, 38256032, 38255998, 38255939, 38255793, 38254842, 38253217, 38252861, 38252499, 37992040, 37512877, 37474764, 37362937, 37332116, 37145299, 37098420, 37089556, 37074442, 36951501, 36812695, 36794831, 36713861, 36187747, 36163472, 36138514, 36037202, 36017363, 36004327, 35957815, 38127952, 37944420, 37862145, 37560408, 37425258, 36951501, 36911665, 36621204, 36429244, 36017363, 35665714, 35597589, 35328715, 35323827, 35075964, 35031328, 34900753, 34842355, 34516001, 34268129"
"37875976, 37865178, 37817517, 37586618, 35951774, 35499059, 35371619, 35370998, 33912578, 33686787, 33498377, 28389570, 27051585, 25692699, 36671355, 35468693, 34525365, 34253728, 32250220, 26194095, 24137163, 38259467, 38256140, 38255948, 38254883, 38247970, 38247395, 38245564, 38244648, 38244400, 38243273, 38238738, 38236642, 38235490, 38235358, 38230499, 38229080, 38229027, 38227149, 38226451, 38225776, 33114263, 23827861","38260418, 38260392, 38260361, 38260290, 38258916, 38258697, 38258065, 38256884, 38256193, 38256099, 38256080, 38255995, 38255679, 38255305, 38255297, 38255193, 38255159, 38254918, 38254881, 38254873, 38261397, 38261396, 38261350, 38261316, 38261313, 38261299, 38261296, 38261253, 38261238, 38261228, 38261164, 38261161, 38261143, 38261142, 38261141, 38261139, 38261114, 38261108, 38261079, 38261065, 38261316, 38261115, 38260849, 38260838, 38260835, 38260832, 38260829, 38260500, 38260443, 38260217, 38260048, 38259856, 38259607, 38259481, 38259082, 38259000, 38258804, 38258582, 38258539, 38258518","38249287, 38247878, 38194881, 38182068, 38150819, 38134480, 38123146, 38056311, 38035115, 38022530, 38018872, 37926347, 37914939, 37910468, 37892540, 37865160, 37814340, 37776595, 37772994, 37760608, 38260290, 38256928, 38256195, 38256080, 38256003, 38255205, 38255185, 38254102, 38249931, 38249884, 38247865, 38247860, 38247851, 38247814, 38247813, 38247252, 38246327, 38246163, 38245543, 38244736, 38237373, 38231254, 38228846, 38159337, 38159266, 38116132, 38078122, 38010914, 37943357, 37932977, 37820998, 37773629, 37747674, 37736254, 37734252, 37648247, 37629716, 37603831, 37565822, 37488673, 38261006, 38260834, 38260434, 38259709, 38259413, 38259374, 38259358, 38259281, 38259194, 38258054, 38256417, 38256073, 38256032, 38255998, 38255939, 38255793, 38254842, 38253217, 38252861, 38252499, 38252362, 38250694, 38247098, 38244710, 38244585, 38243929, 38243037, 38242575, 38239645, 38238826, 38237621, 38233795, 38230393, 38230214, 38228667, 38228590, 38226984, 38226541, 38226186, 38224677, 38249287, 38247878, 38244727, 38194881, 38182068, 38150819, 38136347, 38134480, 38123146, 38091982, 38056453, 38056311, 38035115, 38022530, 38018872, 37979911, 37970359, 37963313, 37934210, 37926347"
"30279518, 30109253, 28633443, 28428272, 28089111, 24997475, 23941831, 19079221, 31605691, 30279518, 30109253, 28633443, 28428272, 28296825, 28089111, 26026389, 25887922, 24997475, 23941831, 19079221, 15841713","38216082, 38196533, 38142452, 38128524, 38099646, 38079014, 38072949, 38067236, 38043837, 38016520, 38012770, 38010635, 38002942, 38001683, 37995714, 37983757, 37967175, 37963665, 37943958, 37943618, 38254934, 38236055, 38216082, 38199806, 38198298, 38196533, 38170399, 38164364, 38142452, 38131308, 38128524, 38111112, 38099646, 38097398, 38082505, 38079014, 38073344, 38072949, 38071180, 38067236, 38254934, 38236055, 38216082, 38199806, 38198298, 38196533, 38170399, 38164364, 38142452, 38131308, 38128524, 38111112, 38099646, 38097398, 38082505, 38079014, 38073344, 38071180, 38067236, 38064246","38099646, 38072949, 38001683, 37817030, 37780577, 37316089, 37182914, 37166989, 37037901, 36995439, 36982759, 36853391, 36399769, 36334333, 36262974, 35895870, 35782078, 35625868, 35362542, 35361338, 38142452, 38043837, 38012770, 37995714, 37943618, 37853284, 37807962, 37800450, 37798255, 37709620, 37688717, 37682806, 37577746, 37541870, 37510409, 37505844, 37405864, 37358225, 37325944, 37311890, 38142452, 38082505, 38043837, 38012770, 37995714, 37954110, 37943618, 37900798, 37853284, 37835881, 37807962, 37800450, 37798255, 37709620, 37688717, 37682806, 37652652, 37646505, 37577746, 37541870"
,,
"38026194, 37812892, 37749885, 37652008, 37114045, 36778381, 36681226, 36627936, 36372810, 36161939, 36142193, 36101343, 35805965, 35471119, 35414032, 35393949, 35102343, 34868019, 34354708, 34233192, 23896954, 11081397, 9150127, 38158691, 36660362, 35850197, 35675701, 34946184, 34692176, 34438018, 34313538, 33990686, 33917379, 33635174, 33536224, 33300552, 32857194, 31681784, 31294385, 31294381, 30972059, 30959861, 30901846, 38258906, 38189580, 38065263, 37996842, 37865178, 37849974, 37843108, 37836692, 37817517, 37749611, 37586618, 37504971, 37197438, 37052218, 36941715, 36807140, 36713428, 36707899, 36646382, 36614212, 38133321, 37842912, 36037202, 35426367, 35339113, 34246792, 33523448, 32582668, 32008133, 31921117, 31376032, 30940601, 30659231, 30403550, 29140405, 29089374, 26385573, 25943273, 25517879, 25385227, 38255150, 38154276, 38140362, 38124090, 38059752, 38003220, 37903378, 37873588, 37820403, 37813835, 37812892, 37798913, 37739064, 37734910, 37694693, 37672855, 37586320, 37569505, 37536035, 37526424, 37114045, 36372810, 36142193, 35102343, 34868019, 34233192, 33912578, 32582668, 32550748, 31570564, 31189465, 30984202, 30962426, 30552020, 30252029, 30042998, 30010734, 29980608, 29195141, 28827067, 38133321, 37842912, 36037202, 35339113, 33523448, 32582668, 31376032, 29179969, 29140405, 25943273, 25517879, 16035068, 12054088","38253404, 38252127, 38248345, 38247860, 38243258, 38242866, 38227935, 38222858, 38222006, 38218856, 38213162, 38206272, 38203432, 38199431, 38194243, 38191481, 38183697, 38183030, 38182296, 38170633, 38257748, 38256424, 38249988, 38242073, 38240552, 38236930, 38232843, 38232612, 38222486, 38220120, 38215064, 38201470, 38193251, 38186753, 38184810, 38183462, 38178146, 38166046, 38163988, 38159545, 38261265, 38261236, 38261168, 38261139, 38261036, 38261001, 38260821, 38260748, 38260747, 38260745, 38260742, 38260736, 38260733, 38260729, 38260691, 38260655, 38260654, 38260622, 38260577, 38260514, 38259542, 38259277, 38258793, 38256646, 38256031, 38254702, 38252122, 38247313, 38246003, 38242439, 38241896, 38241630, 38239381, 38239049, 38238616, 38238452, 38236925, 38235129, 38233701, 38232716, 38261090, 38260868, 38259074, 38258931, 38257937, 38257885, 38255801, 38254507, 38253688, 38251984, 38251424, 38251310, 38249454, 38247508, 38243771, 38242419, 38242234, 38242179, 38242132, 38240981, 38222858, 38222006, 38183697, 38183030, 38167804, 38164262, 38165200, 38162671, 38149947, 38104486, 38100532, 38096399, 38081403, 38070031, 38054920, 38047677, 38041107, 38036287, 38023358, 37983522, 38259277, 38256031, 38254702, 38253868, 38252122, 38247827, 38246003, 38243840, 38241896, 38239049, 38236925, 38235129, 38233701, 38232336, 38231412, 38228960, 38227933, 38227075, 38227006, 38226642","38170633, 38165200, 38144417, 38135070, 38036287, 38019127, 37948152, 37933011, 37922980, 37902285, 37861311, 37749885, 37729987, 37680073, 37655059, 37647442, 37631384, 37628830, 37595814, 37530911, 38248345, 38247860, 38243258, 38222858, 38218856, 38206272, 38194243, 38183030, 38162671, 38158154, 38149947, 38144417, 38138902, 38101567, 38096399, 38090362, 38086270, 38073013, 38072390, 38071913, 38236930, 38184810, 37006315, 36844143, 36586523, 35946994, 35835370, 35741191, 35643249, 35443497, 35257620, 35181570, 34836243, 34728772, 34576291, 34489967, 34394100, 34335609, 34273585, 34183226, 38261265, 38260747, 38258906, 38258347, 38256928, 38256480, 38256195, 38255763, 38255745, 38255205, 38254715, 38254097, 38253917, 38253183, 38252699, 38252517, 38251974, 38251701, 38251667, 38247860, 38258048, 38255906, 38254536, 38254118, 38250141, 38246358, 38245816, 38245554, 38237593, 38235413, 38233795, 38232734, 38227933, 38226525, 38224950, 38217845, 38216808, 38212672, 38204331, 38203802, 38260812, 38260661, 38260156, 38260083, 38259597, 38259493, 38259291, 38259288, 38259136, 38258992, 38257791, 38257149, 38257125, 38256899, 38256243, 38256230, 38256196, 38256155, 38255874, 38255771"
"38258906, 38248835, 38177086, 38151490, 38124090, 38070244, 38069446, 38065263, 38033588, 38004116, 37983927, 37971273, 37949638, 37936149, 37898344, 37886485, 37882738, 37881499, 37875976, 37873404, 36860849, 36410025, 36232432, 35371619, 34112196, 34021704, 32920851, 30411335, 30392911, 30103545, 27220087, 27040468, 25692699, 25170192, 24102406, 23558973, 22314561, 22119709, 22000604, 20808919, 37370812, 31811372, 29027468, 25667476, 24468454, 24030234, 23941831, 23660935, 21660477, 19079771, 16573174, 37335731, 36994851, 36806873, 36695985, 36447540, 36430302, 36399769, 36198850, 35798022, 35771958, 35753410, 35697499, 35663711, 35645542, 35380348, 35321275, 35284127, 35013389, 37461972, 34749618, 38258906, 38255916, 38190238, 38189580, 38172977, 38151490, 38130639, 38106420, 38096956, 38070244, 38065263, 38026194, 37968625, 37963876, 37953693, 37901448, 37891901, 37885171, 37882738, 37881499, 38258906, 38177086, 38112601, 38070244, 38069446, 38065263, 38038385, 37993058, 37949638, 37936149, 37891965, 37882738, 37881499, 37875976, 37841565, 37834994, 37818653, 37815870, 37779168, 37773196, 38258020, 38257863, 38255916, 38247868, 38246590, 38238335, 38231408, 38227799, 38225565, 38203843, 38203712, 38194476, 38178260, 38175472, 38168274, 38168138, 38165179, 38164789, 38163085, 38156400","38260232, 38259413, 38259096, 38258996, 38258804, 38258739, 38258659, 38258653, 38258341, 38257851, 38256941, 38256661, 38255801, 38255641, 38254918, 38253956, 38253688, 38252282, 38252200, 38251795, 38260947, 38258052, 38256611, 38255949, 38255706, 38253888, 38253205, 38253189, 38253124, 38250929, 38250306, 38249555, 38249092, 38248669, 38248039, 38247999, 38247864, 38247218, 38244728, 38244613, 38260170, 38260014, 38256471, 38256333, 38256174, 38255973, 38254797, 38254792, 38252936, 38252200, 38251810, 38250535, 38250163, 38249210, 38248004, 38247125, 38246661, 38246510, 38246488, 38246046, 38239138, 38203236, 38187058, 38184670, 38174112, 38172637, 38164388, 38139075, 38098488, 38088363, 38086086, 38062420, 38042840, 38003615, 37999470, 37989885, 37897531, 37879956, 37863564, 37854067, 38260170, 38260014, 38256471, 38256333, 38256174, 38255973, 38254797, 38254792, 38252936, 38252200, 38251810, 38250535, 38250163, 38249210, 38248004, 38247125, 38246661, 38246510, 38246488, 38246046, 38256917, 38256554, 38256252, 38252282, 38248224, 38245564, 38245554, 38244648, 38244400, 38243871, 38241481, 38231290, 38228147, 38227962, 38227097, 38220146, 38215143, 38214657, 38201530, 38194971","38258906, 38257851, 38256661, 38255801, 38255641, 38253688, 38252282, 38251262, 38249593, 38249451, 38248835, 38247803, 38245564, 38245554, 38245513, 38244648, 38243871, 38243273, 38241481, 38239921, 38218816, 38197634, 38182845, 38176933, 38168034, 38144334, 38108386, 38106480, 38053996, 38010857, 37998359, 37982421, 37852657, 37830115, 37824060, 37805585, 37801900, 37777025, 37745080, 37718731, 38260947, 38244728, 38244585, 38239615, 38235556, 38187003, 38184670, 38176933, 38176772, 38168034, 38154092, 38108386, 38106480, 38042840, 38042786, 38032469, 38031173, 38027507, 38020286, 37982421, 38252200, 38248004, 38238953, 38234670, 38216328, 38200517, 38194988, 38187913, 38184117, 38163262, 38157006, 38151749, 38144533, 38142452, 38130477, 38104303, 38090331, 38088722, 38081604, 38074671, 38254792, 38227104, 38191305, 38137862, 38117352, 38104303, 38099646, 38094486, 38081604, 38072949, 38044124, 37989331, 37908272, 37900797, 37893134, 37885396, 37880686, 37876927, 37874342, 37838765, 38258906, 38255641, 38251410, 38248096, 38245564, 38243586, 38240339, 38235358, 38234098, 38231214, 38228262, 38227962, 38226781, 38222783, 38222203, 38219582, 38205394, 38201190, 38201173, 38199892"
